msj_ort;msj_stemm;msj_noplural;msj_noemoji
esta lloviendo ;esta llov;esta lloviendo;esta lloviendo
quiero ir centro mañana pero seguro llueve  ;quier ir centr mañan per segur lluev;quiero ir centro mañana pero seguro llueve;quiero ir centro mañana pero seguro llueve
 si  llueve mucho     \U0001f612 ;si lluev much \u0001f612;si llueve mucho \u0001f612;si llueve mucho  
 si llueve hago  \U0001f917 ;si lluev hag \u0001f917;si llueve hago \u0001f917;si llueve hago  
hasta cuando voy seguir teniendo miedo tormentas   \U0001f644 \U0001f623 ;hast cuand voy segu ten mied torment \u0001f644 \u0001f623;hasta cuando voy seguir teniendo miedo tormenta \u0001f644 \u0001f623;hasta cuando voy seguir teniendo miedo tormentas    
 sea estacion sea   no hay plata  ahora llueve   cambia   tenes estudiar igual ;sea estacion sea no hay plat ahor lluev cambi ten estudi igual;sea estacion sea no hay plata ahora llueve cambia tene estudiar igual;sea estacion sea no hay plata ahora llueve cambia tenes estudiar igual
llueve no tengo internet   espera tremenda tarde ;lluev no teng internet esper tremend tard;llueve no tengo internet espera tremenda tarde;llueve no tengo internet espera tremenda tarde
que linda noche lluvia  \U0001f496 ;que lind noch lluvi \u0001f496;que linda noche lluvia \u0001f496;que linda noche lluvia  
miercoles mucho calor  previo lluvias  ;miercol much calor previ lluvi;miercole mucho calor previo lluvia;miercoles mucho calor previo lluvias
me gusta cuando llueve porque parece estan fritando empanadas  pues gorda  \U0001f602 ;me gust cuand lluev porqu parec estan frit empan pues gord \u0001f602;me gusta cuando llueve porque parece estan fritando empanada pue gorda \u0001f602;me gusta cuando llueve porque parece estan fritando empanadas pues gorda  
noviembre sin ti sentir lluvia dice llorando todo acabo  \U0001f3b5 ;noviembr sin ti sent lluvi dic llor tod acab \u0001f3b5;noviembre sin ti sentir lluvia dice llorando todo acabo \u0001f3b5;noviembre sin ti sentir lluvia dice llorando todo acabo  
con lluvia dieron ganas cucharear    \U0001f60f ;con lluvi dieron gan cuchar \u0001f60f;con lluvia dieron gana cucharear \u0001f60f;con lluvia dieron ganas cucharear  
y largo lluvia  \u2614 \U0001f495 ;y larg lluvi \u2614 \u0001f495;y largo lluvia \u2614 \u0001f495;y largo lluvia    
que hermosa tormenta ;que hermos torment;que hermosa tormenta;que hermosa tormenta
 dan lluvia  ;dan lluvi;dan lluvia;dan lluvia
aseguran hay stock suficiente bengalas combatir tormentas  ;asegur hay stock suficient bengal combat torment;aseguran hay stock suficiente bengala combatir tormenta;aseguran hay stock suficiente bengalas combatir tormentas
